Sexo;Divisiones de la CNAE-09;Componentes del salario bruto anual;Periodo;Total
Ambos sexos;72 Investigación y desarrollo;Pagos extraordinarios;2022;3.505
Ambos sexos;72 Investigación y desarrollo;Valoración en especie;2022;196,39
Ambos sexos;72 Investigación y desarrollo;Salario ordinario;2022;32.665,01
Ambos sexos;73 Publicidad y estudios de mercado;Salario bruto;2022;31.049,78
Ambos sexos;73 Publicidad y estudios de mercado;Pagos extraordinarios;2022;2.865,38
Ambos sexos;73 Publicidad y estudios de mercado;Valoración en especie;2022;478,37
Ambos sexos;73 Publicidad y estudios de mercado;Salario ordinario;2022;27.706,03
Ambos sexos;74 Otras actividades profesionales, científicas y técnicas;Salario bruto;2022;28.014,26
Ambos sexos;74 Otras actividades profesionales, científicas y técnicas;Pagos extraordinarios;2022;2.741,12
Ambos sexos;74 Otras actividades profesionales, científicas y técnicas;Valoración en especie;2022;223,36
Ambos sexos;74 Otras actividades profesionales, científicas y técnicas;Salario ordinario;2022;25.049,78
Ambos sexos;75 Actividades veterinarias;Salario bruto;2022;18.506,84
Ambos sexos;75 Actividades veterinarias;Pagos extraordinarios;2022;847,16
Ambos sexos;75 Actividades veterinarias;Valoración en especie;2022;25,74
Ambos sexos;75 Actividades veterinarias;Salario ordinario;2022;17.633,94
Ambos sexos;77 Actividades de alquiler;Salario bruto;2022;26.025,85
Ambos sexos;77 Actividades de alquiler;Pagos extraordinarios;2022;3.180,42
Ambos sexos;77 Actividades de alquiler;Valoración en especie;2022;247,39
Ambos sexos;77 Actividades de alquiler;Salario ordinario;2022;22.598,04
Ambos sexos;78 Actividades relacionadas con el empleo;Salario bruto;2022;19.983,99
Ambos sexos;78 Actividades relacionadas con el empleo;Pagos extraordinarios;2022;801,58
Ambos sexos;78 Actividades relacionadas con el empleo;Valoración en especie;2022;58,97
Ambos sexos;78 Actividades relacionadas con el empleo;Salario ordinario;2022;19.123,44
Ambos sexos;79 Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;Salario bruto;2022;27.000,87
Ambos sexos;79 Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;Pagos extraordinarios;2022;2.704,62
Ambos sexos;79 Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;Valoración en especie;2022;132,98
Ambos sexos;79 Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos;Salario ordinario;2022;24.163,27
Ambos sexos;80 Actividades de seguridad e investigación;Salario bruto;2022;22.205,75
Ambos sexos;80 Actividades de seguridad e investigación;Pagos extraordinarios;2022;1.659,24
Ambos sexos;80 Actividades de seguridad e investigación;Valoración en especie;2022;45,6
Ambos sexos;80 Actividades de seguridad e investigación;Salario ordinario;2022;20.500,91
Ambos sexos;81 Servicios a edificios y actividades de jardinería;Salario bruto;2022;14.943,69
Ambos sexos;81 Servicios a edificios y actividades de jardinería;Pagos extraordinarios;2022;1.529,08
Ambos sexos;81 Servicios a edificios y actividades de jardinería;Valoración en especie;2022;39,81
